DARKO VISKOVIÆ PR DOLCE VITA;;;Lager;;;;
PAVLA VUJISIÆA 44 BEOGRAD (ZEMUN);;;"magacin: mp1
cena: nabavna";;;;
PIB:111565745;;;;;;;
;;;;;;;
Šifra;Naziv;J.M.;Ulaz;Izlaz;Stanje;Cena;Vrednost
1206451;Futrola BI FOLD Ihave za Samsung G973F Galaxy S10 crna;KOM;1;0;1;425,60;425,60
1206453;Futrola BI FOLD Ihave za Samsung G970F Galaxy S10e crna;KOM;1;0;1;425,60;425,60
1206458;Futrola BI FOLD Ihave za Samsung G975F Galaxy S10 Plus crna;KOM;1;0;1;425,59;425,59
1206499;Futrola GENTLE COLOR za Huawei P30 crna;KOM;1;0;1;170,24;170,24
1206765;Futrola CANVAS za Sasmung G960F Galaxy S9 teget;KOM;1;0;1;288,09;288,09
1206786;Futrola ELEGANT DIAMOND za Iphone 7 teget;KOM;1;0;1;212,83;212,83
1206820;Futrola ELEGANT DIAMOND za Samsung G955F Galaxy S8 Plus crna;KOM;1;0;1;212,83;212,83
1206832;Futrola ELEGANT DIAMOND za Samsung J400F Galaxy J4 2018 crna;KOM;1;0;1;212,83;212,83
1206834;Futrola ELEGANT DIAMOND za Samsung J400F Galaxy J4 2018 teget;KOM;1;0;1;212,83;212,83
1206835;Futrola ELEGANT DIAMOND za Samsung J415F Galaxy J4 Plus crna;KOM;1;0;1;212,83;212,83
1206837;Futrola ELEGANT DIAMOND za Samsung J415F Galaxy J4 Plus teget;KOM;1;0;1;212,83;212,83
1206838;Futrola ELEGANT DIAMOND za Samsung J530F Galaxy J5 2017 (EU) crna;KOM;1;0;1;212,83;212,83
121060;Futrola GENTLE COLOR za Huawei Mate 10 Lite crna;KOM;1;0;1;170,24;170,24
121068;Futrola GENTLE COLOR za Huawei P10 Lite crna;KOM;1;0;1;170,24;170,24
121074;Futrola GENTLE COLOR za Huawei P20 Lite roze;KOM;1;0;1;170,24;170,24
121096;Futrola GENTLE COLOR za Iphone 7 Plus/8 Plus crna;KOM;1;0;1;170,24;170,24
121104;Futrola GENTLE COLOR za Iphone ;KOM;1;0;1;170,24;170,24
121128;Futrola GENTLE COLOR za Nokia 5.1 crna;KOM;1;0;1;119,16;119,16
121150;Futrola GENTLE COLOR za Samsung G950F Galaxy S8 crna;KOM;1;0;1;170,24;170,24
121154;Futrola GENTLE COLOR za Samsung G955F Galaxy S8 Plus crna;KOM;1;0;1;170,24;170,24
121172;Futrola GENTLE COLOR za Samsung J330F Galaxy J3 2017 (EU) roze;KOM;1;0;1;119,16;119,16
121180;Futrola GENTLE COLOR za Samsung J530F Galaxy J5 2017 (EU) crna;KOM;1;0;1;170,24;170,24
121182;Futrola GENTLE COLOR za Samsung J530F Galaxy J5 2017 (EU) roze;KOM;1;0;1;170,24;170,24
121190;Futrola GENTLE COLOR za Samsung J730F Galaxy J7 2017 (EU) crna;KOM;1;0;1;170,24;170,24
121389;Folija za zastitu ekrana GLASS za Huawei Mate 20 Lite/Honor Play/P Smart Plus/Ho;;6;0;6;87,73;526,36
121675;Futrola NILLKIN QIN za Iphone XS Max crna;KOM;1;0;1;672,48;672,48
121677;Futrola NILLKIN super frost za Iphone XR crna;KOM;1;0;1;445,21;445,21
